suggestion_id,PARSE-Ego4D ID,Query,Action,Description,n_raters,SENSIBLE_mean,SENSIBLE_std,CORRECT_mean,CORRECT_std,IMPLICIT_mean,IMPLICIT_std,VALUE_mean,VALUE_std,LIKELY_mean,LIKELY_std,split
48,014995a6-77e7-48b2-98b6-a7422e44d03e-28-0-200,Show me my shopping list and navigate to the next item,Assistant,Open the shopping list and navigate to the next item on the list,1,5.0,,5.0,,5.0,,,,,,train
49,014b473f-aec0-49c7-b394-abc7309ca3c7-81-0-200,Show me how to cut palm fronds,Instructions,Show instructions on how to cut palm fronds,1,5.0,,5.0,,1.0,,,,,,train
50,014b473f-aec0-49c7-b394-abc7309ca3c7-81-0-200,Log that I'm cutting palm fronds,Memory,Log my activity,1,2.0,,1.0,,2.0,,,,,,train
51,015bc651-e0fe-440e-a10d-68406c548c5a-169-0-200,What is the recipe for this dish?,Multimodal search,What is the recipe for this dish?,5,3.0,1.5811388300841898,3.0,1.4142135623730951,2.6,0.8944271909999159,,,,,test
52,015bc651-e0fe-440e-a10d-68406c548c5a-169-0-200,What is the recipe for this dish? Set a timer for 30 minutes.,Assistant,"What is the recipe for this dish? Also, set a timer for 30 minutes.",1,3.0,,3.0,,2.0,,,,,,train
55,015bc651-e0fe-440e-a10d-68406c548c5a-199-2-200,How do I shape this dough into a loaf?,Instructions,How do I shape this dough into a loaf?,6,3.6666666666666665,1.2110601416389966,4.333333333333333,0.816496580927726,2.8333333333333335,1.3291601358251257,,,,,test
56,015bc651-e0fe-440e-a10d-68406c548c5a-199-2-200,Would you like to shape the dough into a loaf?,Instructions,The user might want to shape the dough into a loaf.,1,1.0,,5.0,,5.0,,,,,,train
57,015bc651-e0fe-440e-a10d-68406c548c5a-168-3-200,What is this thing?,Instructions,How do I use this dough divider?,1,2.0,,3.0,,2.0,,,,,,train
58,015bc651-e0fe-440e-a10d-68406c548c5a-168-3-200,What is this thing? What should I do with it?,Instructions,What is this dough divider? How do I use it? What recipe should I use?,1,4.0,,2.0,,3.0,,,,,,train
59,015bc651-e0fe-440e-a10d-68406c548c5a-76-4-200,What recipe am I following?,Memory,Open the recipe I'm following,1,4.0,,4.0,,2.0,,,,,,train
60,015bc651-e0fe-440e-a10d-68406c548c5a-174-4-200,What's a good recipe for bread?,Multimodal search,Show me a recipe for bread,1,4.0,,5.0,,2.0,,,,,,train
61,015bc651-e0fe-440e-a10d-68406c548c5a-191-5-200,How long should I cook this dough for?,Multimodal search,How long should I cook this dough for?,1,4.0,,3.0,,3.0,,,,,,train
62,015bc651-e0fe-440e-a10d-68406c548c5a-191-5-200,"How long should I cook this dough for? Also, what is the recipe for this dough? Set a timer for the dough to cook. Also, what is the recipe for the dough?",Assistant,"How long should I cook this dough for? Also, what is the recipe for this dough? Set a timer for the dough to cook. Also, what is the recipe for the dough?",6,5.0,0.0,4.333333333333333,0.816496580927726,4.333333333333333,1.2110601416389966,,,,,test
63,016bfe72-74ef-4956-9cc9-7a7ad2f6ab48-173-0-200,How do I make chocolate pudding?,Instructions,How to make chocolate pudding,1,5.0,,5.0,,5.0,,,,,,train
64,016bfe72-74ef-4956-9cc9-7a7ad2f6ab48-128-1-200,Remind me to take out the trash,Memory,Remind me to take out the trash,1,5.0,,5.0,,5.0,,,,,,train
65,016bfe72-74ef-4956-9cc9-7a7ad2f6ab48-128-1-200,Where can I find a new kitchen towel?,Multimodal search,Find a new kitchen towel,1,5.0,,3.0,,1.0,,,,,,train
66,01811fc3-9862-4b9a-ae33-1e5f86b28c15-103-0-200,Show me a different image,Assistant,Show me a different image to paint,2,5.0,0.0,3.5,0.7071067811865476,2.5,0.7071067811865476,,,,,val
67,01811fc3-9862-4b9a-ae33-1e5f86b28c15-103-0-200,Suggest an image to paint,Assistant,Suggest an image to paint that is similar to the one on the laptop,1,5.0,,5.0,,5.0,,,,,,train
68,01811fc3-9862-4b9a-ae33-1e5f86b28c15-177-2-200,Help me find a shade of blue that is slightly darker than this,Multimodal search,Help me find a specific color,1,5.0,,5.0,,1.0,,,,,,train
69,01811fc3-9862-4b9a-ae33-1e5f86b28c15-177-2-200,Can you project the image from my laptop onto the board?,Assistant,Project the image from my laptop onto the board,1,3.0,,3.0,,3.0,,,,,,train
70,018b7ef7-2a81-4451-ab60-a638b5ee501b-104-0-200,How do I tape this board?,Instructions,How to tape the board,5,3.6,1.3416407864998738,3.8,1.3038404810405297,3.4,1.1401754250991378,,,,,test
71,018b7ef7-2a81-4451-ab60-a638b5ee501b-104-0-200,Walk me through how to tape this board,Instructions,Step-by-step guide on how to tape the board,1,5.0,,4.0,,5.0,,,,,,train
72,019a251b-f3fb-4fc9-82dc-ca1b9fe42e12-100-0-200,How do I use this magnetic wrench?,Instructions,Show me how to use the magnetic wrench,1,1.0,,1.0,,1.0,,,,,,train
73,019a251b-f3fb-4fc9-82dc-ca1b9fe42e12-100-0-200,Show me a video on how to use this magnetic wrench,Instructions,Show me a video tutorial on how to use the magnetic wrench,1,4.0,,3.0,,4.0,,,,,,train
74,019d6db7-bd2c-40d6-be3e-53816f0b84fe-109-0-200,How should I move my next block?,Instructions,Help me with the game,34,3.4411764705882355,1.3967749969686822,3.3529411764705883,1.453988306842575,3.0588235294117645,1.4758906190600949,3.033333333333333,1.4015590662158888,2.6,1.3287276776598393,test
75,019d6db7-bd2c-40d6-be3e-53816f0b84fe-109-0-200,What is the best move for me to make?,Instructions,Help me with the game,1,5.0,,5.0,,2.0,,,,,,train
76,01ccf6b0-5e95-4b18-acd4-a8cc1fd31ddf-198-0-200,How do I use the impact gun?,Instructions,Show me how to use the impact gun,1,4.0,,4.0,,1.0,,,,,,train
77,01ccf6b0-5e95-4b18-acd4-a8cc1fd31ddf-198-0-200,How many screws do I have left?,Multimodal search,Show me how many screws I have left,1,5.0,,5.0,,5.0,,,,,,train
81,01d301c9-9dbf-4da2-9181-d66a6688f5e6-118-0-200,How do I use this leveler?,Instructions,Show me how to use the leveler,1,5.0,,5.0,,1.0,,,,,,train
82,01d301c9-9dbf-4da2-9181-d66a6688f5e6-118-0-200,Show me a 3D model of this leveler,Multimodal search,Show me a 3D model of the leveler,1,3.0,,2.0,,2.0,,,,,,train
83,01d32889-b5c3-4b2f-9a37-f751b7f818d4-106-0-200,How do I cut branches safely?,Instructions,How to cut branches safely,1,4.0,,4.0,,4.0,,,,,,train
84,01d32889-b5c3-4b2f-9a37-f751b7f818d4-106-0-200,Show me a live feed of the chainsaw blade,Assistant,Show a live feed of the chainsaw blade,1,4.0,,5.0,,4.0,,,,,,train
85,01d793c6-e235-4af1-8a1d-c70dcf0c8654-87-0-200,How do I install this conduit?,Instructions,How to install the conduit,1,3.0,,4.0,,4.0,,,,,,train
86,01d793c6-e235-4af1-8a1d-c70dcf0c8654-87-0-200,Show me how to install this conduit,Instructions,Show me how to install the conduit,1,5.0,,5.0,,5.0,,,,,,train
87,01db7c39-a512-4bac-b284-dff8c7360e80-162-0-200,Remember to throw this away later,Memory,Remember to throw away the deadwood,1,3.0,,3.0,,3.0,,,,,,train
88,01db7c39-a512-4bac-b284-dff8c7360e80-162-0-200,What kind of tree is this?,Multimodal search,Identify the type of tree,2,5.0,0.0,5.0,0.0,3.5,0.7071067811865476,,,,,val
89,01dc966b-851c-49af-b1bb-158c68aac4eb-158-0-200,Show me a picture of a portrait,Multimodal search,Show me a picture of a portrait,1,4.0,,2.0,,2.0,,,,,,train
90,01dc966b-851c-49af-b1bb-158c68aac4eb-158-0-200,Help me mix colors,Instructions,Help me mix colors to create the perfect shade for my portrait,1,4.0,,5.0,,4.0,,,,,,train
91,01dcc50d-d560-49cf-aff7-c9a7dfdddbaa-74-0-200,How do I use the oil gauge?,Instructions,Show me how to use the oil gauge,2,3.5,2.1213203435596424,3.0,2.8284271247461903,3.0,1.4142135623730951,,,,,val
92,01dcc50d-d560-49cf-aff7-c9a7dfdddbaa-74-0-200,Would you like to know how to use the oil gauge?,Assistant,Proactively offer to show the user how to use the oil gauge,1,4.0,,1.0,,2.0,,,,,,train
93,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-104-1-200,Where is the hammer?,Assistant,Find a particular tool or material in the workshop,2,2.0,1.4142135623730951,1.0,0.0,1.5,0.7071067811865476,,,,,val
94,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-104-1-200,How do I apply these wall stickers?,Instructions,Get instructions on how to apply the wall stickers to the wall,1,3.0,,3.0,,3.0,,,,,,train
95,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-127-3-200,Help me sort these wall stickers,Instructions,Help me sort these wall stickers,5,2.4,1.6733200530681511,3.0,1.5811388300841898,1.8,1.788854381999832,,,,,test
96,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-127-3-200,Can you sort these wall stickers for me?,Instructions,Automatically sort these wall stickers,1,3.0,,3.0,,3.0,,,,,,train
97,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-135-4-200,Can you help me sort these wall stickers?,Instructions,Sort the wall stickers by color or size,1,5.0,,5.0,,4.0,,,,,,train
98,01f5ee9f-09e9-4d3d-b682-aa64b6a57858-135-4-200,Can you help me keep track of which wall stickers have been sorted?,Memory,Keep track of which wall stickers have been sorted and which ones still need to be sorted,1,5.0,,5.0,,2.0,,,,,,train
99,01f9f9d6-2871-4913-99ea-8ffb7780fc8d-83-1-200,What is the man eating?,Multimodal search,Identify the food that the man is eating,1,4.0,,5.0,,1.0,,,,,,train
100,01f9f9d6-2871-4913-99ea-8ffb7780fc8d-83-1-200,What is the man eating and how many calories are in it?,Multimodal search,Identify the food that the man is eating and how many calories are in it,1,4.0,,3.0,,2.0,,,,,,train
101,020f30ad-0a70-4aaf-835b-fb394830b06c-100-0-200,Show me how to cut dough,Instructions,Show me how to cut dough,1,1.0,,2.0,,3.0,,,,,,train
102,020f30ad-0a70-4aaf-835b-fb394830b06c-100-0-200,Can you cut the dough for me?,Assistant,Cut the dough for me,1,1.0,,2.0,,1.0,,,,,,train
103,0219271c-7641-4e17-a00c-81c42e0d4779-196-0-200,How do I make this paper craft?,Instructions,Show me how to make this paper craft,1,4.0,,5.0,,2.0,,,,,,train
104,0219271c-7641-4e17-a00c-81c42e0d4779-196-0-200,Scan the drawings in the craft book and give me step-by-step instructions,Instructions,Scan the drawings in the craft book and give me step-by-step instructions,1,5.0,,5.0,,5.0,,,,,,train
105,0219271c-7641-4e17-a00c-81c42e0d4779-40-2-200,How do I tape something to a piece of cardboard?,Instructions,Show instructions on how to tape something to a piece of cardboard,1,4.0,,3.0,,3.0,,,,,,train
106,0219271c-7641-4e17-a00c-81c42e0d4779-40-2-200,Show me a video tutorial on how to make a card,Instructions,Show a video tutorial on how to make a card,5,4.0,1.7320508075688772,4.0,1.7320508075688772,2.6,1.816590212458495,,,,,test
107,0219ad48-8f54-4f61-b22f-4d1e8173e584-100-0-200,What are the rules of this game?,Instructions,Show me the rules of this game,6,3.6666666666666665,1.632993161855452,3.6666666666666665,2.065591117977289,3.1666666666666665,1.4719601443879746,,,,,test
108,0219ad48-8f54-4f61-b22f-4d1e8173e584-100-0-200,Can you keep track of the score for me?,Memory,Keep track of the score for me,1,4.0,,5.0,,4.0,,,,,,train
109,0219ad48-8f54-4f61-b22f-4d1e8173e584-10-1-200,What is a good move for me to make?,Instructions,Suggest a move in the connect four game,1,4.0,,5.0,,3.0,,,,,,train
110,0219ad48-8f54-4f61-b22f-4d1e8173e584-10-1-200,What is the best move for me to make?,Instructions,Suggest a move in the connect four game that is likely to lead to a win,1,4.0,,4.0,,4.0,,,,,,train
111,022a0833-bd07-4dc6-8b94-2d82f0881009-22-0-200,Take a picture of the wall,Assistant,Take a picture of the wall,1,5.0,,5.0,,5.0,,,,,,train
112,022a0833-bd07-4dc6-8b94-2d82f0881009-22-0-200,Show me a tutorial on how to paint a wall,Instructions,Show me a tutorial on how to paint a wall,1,5.0,,5.0,,1.0,,,,,,train
113,023bf95e-28de-43b4-a43f-720edba667a5-149-0-200,Show me a list of all the dishes and utensils that I have put away so far,Memory,Show me a list of all the dishes and utensils that I have put away so far,5,2.8,1.788854381999832,3.0,1.5811388300841898,2.0,1.4142135623730951,,,,,test
114,023bf95e-28de-43b4-a43f-720edba667a5-149-0-200,Take a photo of the cupboard,Instructions,Take a photo of the cupboard so that I can have a record of what I have put away,1,5.0,,1.0,,1.0,,,,,,train
115,023bf95e-28de-43b4-a43f-720edba667a5-162-1-200,Show me a list of all the dishes I have washed so far,Memory,Show me a list of all the dishes I have washed so far,1,1.0,,3.0,,4.0,,,,,,train
116,023bf95e-28de-43b4-a43f-720edba667a5-162-1-200,What dishwashing detergent is good at removing grease and grime?,Multimodal search,Recommend a dishwashing detergent that is effective at removing grease and grime,1,5.0,,5.0,,5.0,,,,,,train
117,02409720-b6b8-448a-abcd-4aa760200a1b-98-0-200,Show me how to trim a hedge,Instructions,Show instructions on how to trim a hedge,5,3.8,1.7888543819998317,4.4,1.3416407864998738,1.8,0.8366600265340756,,,,,test
118,02409720-b6b8-448a-abcd-4aa760200a1b-98-0-200,Show me a video of someone else trimming a hedge,Language,Show a video of someone else trimming a hedge,2,4.0,0.0,1.5,0.7071067811865476,3.5,2.1213203435596424,,,,,train
119,02424a8e-7b8d-4299-b915-71cd9af826f5-199-0-200,What is the best way to care for a bamboo mat?,Assistant,Search for information about bamboo mats,1,5.0,,2.0,,4.0,,,,,,train
120,02424a8e-7b8d-4299-b915-71cd9af826f5-199-0-200,Remember how I made this bamboo mat,Memory,Store a memory about how they made the mat,1,4.0,,3.0,,3.0,,,,,,train
121,02424a8e-7b8d-4299-b915-71cd9af826f5-195-1-200,What are the next steps?,Instructions,What should I do next?,6,3.3333333333333335,1.632993161855452,3.5,1.0488088481701516,3.1666666666666665,1.4719601443879746,,,,,test
122,02424a8e-7b8d-4299-b915-71cd9af826f5-195-1-200,Set a timer for 15 minutes,Assistant,Set a timer for 15 minutes,1,4.0,,5.0,,3.0,,,,,,train
123,02424a8e-7b8d-4299-b915-71cd9af826f5-144-2-200,Who is this woman?,Language,Who is this woman?,1,2.0,,1.0,,2.0,,,,,,train
124,02424a8e-7b8d-4299-b915-71cd9af826f5-144-2-200,Who is this woman? What is this bamboo strap for? What kind of knife is this?,Language,Who is this woman? What is this bamboo strap for? What kind of knife is this?,1,2.0,,2.0,,1.0,,,,,,train
125,0242eca2-9df5-41e7-917e-271e28eacd39-56-1-200,How do I knit a purl stitch?,Instructions,How to knit a particular stitch,1,5.0,,5.0,,4.0,,,,,,train
126,0242eca2-9df5-41e7-917e-271e28eacd39-56-1-200,"Hey glasses, do you have any tips for knitting a sweater?",Instructions,Proactively suggest a tip or trick for knitting,5,4.6,0.5477225575051663,3.8,1.0954451150103324,2.2,1.3038404810405297,,,,,test
127,024713b7-b198-4502-a114-02ca0485353b-194-0-200,How do I peel garlic?,Instructions,How do I peel garlic?,1,3.0,,5.0,,5.0,,,,,,train
128,024713b7-b198-4502-a114-02ca0485353b-130-1-200,How do I open this?,Instructions,How do I open this tomato paste tube?,6,3.5,1.760681686165901,4.166666666666667,0.983192080250175,3.0,1.6733200530681511,,,,,test
129,024713b7-b198-4502-a114-02ca0485353b-130-1-200,What can I make with this?,Instructions,What can I make with this tomato paste?,1,4.0,,5.0,,4.0,,,,,,train
130,024713b7-b198-4502-a114-02ca0485353b-58-2-200,What are these yellow capsicums?,Multimodal search,Identify the yellow capsicums,1,4.0,,4.0,,3.0,,,,,,train
131,024713b7-b198-4502-a114-02ca0485353b-58-2-200,Find me a recipe for a dish that includes yellow capsicums,Instructions,Find a recipe for a dish that includes yellow capsicums,5,4.0,0.7071067811865476,4.0,1.0,3.0,1.0,,,,,test
134,025c63c9-a371-4de7-87a9-ef3949040e8c-33-0-200,Show me my calendar,Assistant,Open the calendar,1,4.0,,5.0,,1.0,,,,,,train
135,025c63c9-a371-4de7-87a9-ef3949040e8c-33-0-200,Show me my calendar and the weather forecast,Assistant,Open the calendar and check the weather,2,3.5,2.1213203435596424,3.0,2.8284271247461903,3.0,2.8284271247461903,,,,,val
136,025fa90b-bf23-4023-ab5b-6eefbad57e7e-100-0-200,What are you trying to do?,Assistant,Ask the user what they are trying to do,1,5.0,,5.0,,5.0,,,,,,train
137,025fa90b-bf23-4023-ab5b-6eefbad57e7e-100-0-200,Would you like to see instructions on how to use the hammer on the lawn mower?,Instructions,Offer to show the user instructions on how to use the hammer on the lawn mower,5,2.2,0.44721359549995787,2.6,1.140175425099138,1.8,0.4472135954999579,,,,,test
138,0260596a-0da1-422a-9ceb-e4f50769f8e2-107-0-200,How do I smooth wood?,Instructions,How to smooth wood,1,5.0,,5.0,,5.0,,,,,,train
139,0260596a-0da1-422a-9ceb-e4f50769f8e2-107-0-200,How do I smooth wood? What kind of sander should I use?,Instructions,"How to smooth wood, what kind of sander to use",1,4.0,,2.0,,1.0,,,,,,train
140,0260596a-0da1-422a-9ceb-e4f50769f8e2-101-1-200,Measure the length of this wood,Assistant,Measure the length of the wood,1,5.0,,4.0,,3.0,,,,,,train
141,0260596a-0da1-422a-9ceb-e4f50769f8e2-101-1-200,How do I complete this project?,Instructions,Provide instructions on how to complete the project,1,4.0,,4.0,,4.0,,,,,,train
142,0265d9f8-923f-4660-9977-c682565f3ed0-192-0-200,Find a nearby restaurant or cafe,Maps,Find a nearby restaurant or cafe,1,3.0,,5.0,,3.0,,,,,,train
143,0265d9f8-923f-4660-9977-c682565f3ed0-192-0-200,Find a nearby park or other place to relax,Maps,Find a nearby park or other place to relax,1,5.0,,5.0,,3.0,,,,,,train
144,028482e5-1376-4a2a-b588-335802d30c5a-93-0-200,Make sure the poster is straight,Assistant,Smooth out the poster and make sure it is straight,1,5.0,,1.0,,4.0,,,,,,train
145,028482e5-1376-4a2a-b588-335802d30c5a-93-0-200,How can I decorate this poster?,Assistant,Decorate the poster,1,3.0,,2.0,,2.0,,,,,,train
146,0296707b-0b42-45dd-98dc-ca8ce0a26a50-40-0-200,Record a video of me playing with the dog,Assistant,Record a video of me playing with the dog,2,5.0,0.0,5.0,0.0,4.5,0.7071067811865476,,,,,val
147,0296707b-0b42-45dd-98dc-ca8ce0a26a50-40-0-200,Show me a video of me playing with the dog from a different perspective,Assistant,Show me a video of me playing with the dog from a different perspective,1,5.0,,4.0,,5.0,,,,,,train
150,029b759d-4b65-49bb-8640-80a2ce5dfd53-123-0-200,Remember that I put a pear in this container,Memory,Remember that I put a pear in this container,1,1.0,,5.0,,4.0,,,,,,train
151,029b759d-4b65-49bb-8640-80a2ce5dfd53-123-0-200,Find me a recipe that uses pears,Instructions,Find a recipe that uses pears,2,3.0,2.8284271247461903,3.0,2.8284271247461903,3.0,2.8284271247461903,,,,,val
152,029eeb9a-8853-48a4-a1dc-e8868b58adf3-141-0-200,How do I cover the tire with the nut cover?,Instructions,Show me how to cover the tire with the nut cover,5,4.4,0.5477225575051662,4.2,0.44721359549995787,3.4,1.816590212458495,,,,,test
153,029eeb9a-8853-48a4-a1dc-e8868b58adf3-141-0-200,Show me a video of how to cover a tire with a nut cover,Language,Show me a video of someone else covering a tire with a nut cover,1,4.0,,5.0,,2.0,,,,,,train
154,029ff9ab-ac4c-43a5-ae53-153228c52a21-78-0-200,Remind me to take my medicine,Assistant,Remind me to take my medicine,1,1.0,,3.0,,2.0,,,,,,train
155,029ff9ab-ac4c-43a5-ae53-153228c52a21-78-0-200,What is the nutritional information for this food?,Multimodal search,Show me the nutritional information for this food,1,1.0,,5.0,,1.0,,,,,,train
156,02a06bf1-51b8-4902-b088-573e29fcd7ec-24-0-200,How do I extract maize from corn without damaging it?,Instructions,How to extract maize from corn,1,5.0,,5.0,,5.0,,,,,,train
157,02a06bf1-51b8-4902-b088-573e29fcd7ec-24-0-200,How do I extract and store maize from corn without damaging it?,Instructions,How to extract and store maize from corn,1,3.0,,4.0,,3.0,,,,,,train
